prev_comm,prio,timeslice
chromium,120,94421
Chrome_ChildIOT,120,17494
Chrome_ChildIOT,120,14878
chromium:gl0,120,57029
chromium:gl0,120,16943
kworker/u96:2,120,10330
chromium:gdrv0,120,36109
chromium,120,424002
chromium:gdrv0,120,13185
kworker/u96:2,120,1583
kworker/u96:2,120,2475
chromium:gdrv0,120,7865
chromium:cs0,120,65685
kworker/u96:2,120,6683
chromium:gl0,120,158052
kworker/u96:2,120,1563
kworker/u97:0,120,180255
chromium:gdrv0,120,13015
chromium:gdrv0,120,6141
chromium,120,132844
chromium:gdrv0,120,8086
kworker/u96:2,120,1623
chromium:gl0,120,162731
chromium:gdrv0,120,8055
Chrome_ChildIOT,120,19768
Chrome_ChildIOT,120,18265
chromium:gdrv0,120,6562
chromium:gdrv0,120,6112
chromium:gdrv0,120,6112
chromium:gdrv0,120,6032
chromium:gdrv0,120,6111
chromium,120,238537
chromium:gdrv0,120,6172
chromium:gdrv0,120,6503
chromium:gl0,120,281569
chromium:gdrv0,120,9058
chromium:cs0,120,14207
kworker/u96:2,120,24276
Chrome_ChildIOT,120,17433
Chrome_ChildIOT,120,12163
chromium:gdrv0,120,6453
chromium:gdrv0,120,6112
chromium:gdrv0,120,6433
chromium:gdrv0,120,8857
chromium:cs0,120,11402
kworker/u96:2,120,5691
kworker/u96:2,120,2855
chromium:gdrv0,120,6854
chromium:gdrv0,120,6072
chromium,120,278804
chromium:gdrv0,120,6202
chromium:gdrv0,120,6092
chromium:gdrv0,120,6041
chromium:gl0,120,341744
kworker/u97:0,120,4398
cosmic-comp,120,16451
kworker/u96:2,120,1473
surface-eDP-1,120,9147
Chrome_ChildIOT,120,18205
Chrome_ChildIOT,120,11462
chromium:gdrv0,120,6974
chromium:gdrv0,120,6011
chromium:gdrv0,120,5992
chromium:gdrv0,120,6022
chromium:gdrv0,120,5922
chromium:gdrv0,120,6071
chromium,120,254898
chromium:gdrv0,120,7073
chromium:gdrv0,120,10240
chromium:gl0,120,289825
chromium:cs0,120,12193
kworker/u96:2,120,24066
Chrome_ChildIOT,120,16472
Chrome_ChildIOT,120,10871
chromium:gdrv0,120,6783
chromium:gdrv0,120,6031
chromium:gdrv0,120,6022
chromium:gdrv0,120,6002
kworker/u96:2,120,1553
chromium:gdrv0,120,9137
chromium:cs0,120,10490
kworker/u96:2,120,9829
chromium:gdrv0,120,6703
chromium,120,283854
chromium:gdrv0,120,5971
chromium:gdrv0,120,5962
chromium:gdrv0,120,6032
chromium:gl0,120,328569
Chrome_ChildIOT,120,18536
Chrome_ChildIOT,120,20158
kworker/u96:2,120,10671
chromium:gdrv0,120,6532
chromium:gdrv0,120,6312
chromium:gdrv0,120,5902
chromium:gdrv0,120,5892
chromium:gdrv0,120,5921
chromium:gdrv0,120,5922
chromium,120,258495
chromium:gdrv0,120,5911
chromium:gdrv0,120,5921
chromium:gl0,120,303651
Chrome_ChildIOT,120,16551
Chrome_ChildIOT,120,13255
chromium,120,18575
chromium:gdrv0,120,9999
chromium:cs0,120,8256
kworker/u96:2,120,35388
chromium:gdrv0,120,6272
chromium:gdrv0,120,7094
chromium:gdrv0,120,7034
chromium:gdrv0,120,7274
chromium:gdrv0,120,7615
chromium:cs0,120,9909
kworker/u96:2,120,9899
chromium:gdrv0,120,6572
chromium,120,250309
chromium:gdrv0,120,6032
chromium:gdrv0,120,5891
chromium:gdrv0,120,5911
chromium:gl0,120,320844
kworker/u96:2,120,8015
Chrome_ChildIOT,120,18545
Chrome_ChildIOT,120,11442
kworker/u96:2,120,5381
chromium:gdrv0,120,6332
chromium:gdrv0,120,6983
chromium:gdrv0,120,7034
chromium:gdrv0,120,6953
chromium:gdrv0,120,6953
chromium:gdrv0,120,6963
chromium,120,256130
chromium:gdrv0,120,5901
chromium:gdrv0,120,5861
chromium:gl0,120,299032
Chrome_ChildIOT,120,16702
Chrome_ChildIOT,120,10670
chromium,120,22142
chromium:gdrv0,120,12824
chromium:cs0,120,8396
kworker/u96:2,120,29797
chromium:gdrv0,120,6172
chromium:gdrv0,120,5912
chromium:gdrv0,120,5841
chromium:gdrv0,120,5861
chromium:gdrv0,120,7825
chromium:cs0,120,9448
chromium:gdrv0,120,6503
kworker/u96:2,120,11191
chromium,120,254748
chromium:gdrv0,120,5841
chromium:gdrv0,120,6994
chromium:gdrv0,120,7093
chromium:gl0,120,318430
kworker/u96:2,120,5280
Chrome_ChildIOT,120,9699
Chrome_ChildIOT,120,11302
chromium:gdrv0,120,6031
kworker/u96:2,120,5380
chromium:gdrv0,120,5751
chromium:gdrv0,120,5842
chromium:gdrv0,120,5861
chromium:gdrv0,120,5911
chromium:gdrv0,120,5842
chromium,120,279235
chromium:gdrv0,120,5791
chromium:gdrv0,120,5781
chromium:gdrv0,120,8235
chromium:gl0,120,314923
chromium:cs0,120,9629
kworker/u96:2,120,29626
Chrome_ChildIOT,120,8376
Chrome_ChildIOT,120,10901
chromium:gdrv0,120,6212
chromium:gdrv0,120,5861
chromium:gdrv0,120,5741
chromium:gdrv0,120,5751
chromium:gdrv0,120,7534
chromium:cs0,120,10540
kworker/u96:2,120,10290
kworker/u96:2,120,2124
chromium,120,6490127
chromium:gdrv0,120,7665
chromium,120,265699
chromium:gdrv0,120,7464
chromium,120,4729
chromium:gl0,120,310905
chromium:gdrv0,120,15990
Chrome_ChildIOT,120,10720
kworker/u96:2,120,1954
Chrome_ChildIOT,120,21531
Compositor,120,214241
ThreadPoolForeg,120,59494
chromium,120,75534
Compositor,120,57750
kworker/u96:2,120,5811
kworker/u97:17,120,10550
VizCompositorTh,120,63702
cosmic-comp,120,18255
surface-HDMI-A-,120,53723
Compositor,120,118758
cosmic-comp,120,70195
alacritty,120,34887
smithay-clipboa,120,48222
alacritty,120,29887
chromium,120,130780
Chrome_ChildIOT,120,148384
surface-eDP-1,120,11993
cosmic-comp,120,137102
surface-HDMI-A-,120,14418
chromium,120,98448
chromium,120,47772
Chrome_ChildIOT,120,286518
chromium:cs0,120,70335
kworker/u96:2,120,62710
Chrome_ChildIOT,120,156439
Compositor,120,118747
Chrome_ChildIOT,120,106263
surface-eDP-1,120,224419
Compositor,120,16652
cosmic-com:cs0,120,46820
chromium,120,343918
surface-eDP-1,120,24426
chromium:cs0,120,34826
cosmic-com:cs0,120,23225
kworker/u96:2,120,27823
VizCompositorTh,120,193601
surface-eDP-1,120,22313
Compositor,120,11392
cosmic-com:cs0,120,22273
chromium,120,68861
surface-eDP-1,120,17614
cosmic-com:cs0,120,23014
chromium:cs0,120,24637
Chrome_ChildIOT,120,63973
surface-eDP-1,120,84472
cosmic-com:cs0,120,22523
Chrome_ChildIOT,120,63121
chromium,120,173362
surface-eDP-1,120,75775
chromium:cs0,120,27172
kworker/u97:17,120,33244
Chrome_IOThread,120,42662
kworker/u96:2,120,35267
chromium,120,31962
ksoftirqd/2,120,15840
kworker/u96:2,120,29156
Chrome_ChildIOT,120,84182
chromium,120,477985
kworker/u96:2,120,60476
Chrome_ChildIOT,120,130841
chromium,120,18816
chromium:gdrv0,120,51538
chromium:gdrv0,120,6252
chromium:gdrv0,120,5861
chromium:gl0,120,417420
chromium:gdrv0,120,5882
chromium,120,63401
kworker/u96:2,120,26651
chromium,120,5641
chromium:gdrv0,120,6092
kworker/u96:2,120,4969
chromium:gdrv0,120,5861
Chrome_ChildIOT,120,55566
kworker/u97:17,120,167881
chromium:gdrv0,120,6062
kworker/u96:2,120,24727
chromium:gl0,120,237695
chromium:gdrv0,120,5891
Chrome_ChildIOT,120,123706
chromium,120,64093
chromium,120,6853
chromium:gdrv0,120,10079
kworker/u96:2,120,11803
chromium,120,12403
chromium:cs0,120,35408
chromium,120,10280
chromium:gdrv0,120,8636
chromium,120,3416
kworker/u96:2,120,41510
chromium:gdrv0,120,7434
chromium:gl0,120,185656
chromium:gdrv0,120,14218
chromium:gdrv0,120,6422
chromium:gl0,120,80504
Chrome_ChildIOT,120,44535
Chrome_ChildIOT,120,13365
chromium:gdrv0,120,7204
chromium,120,80775
chromium,120,7144
chromium:gdrv0,120,5941
chromium,120,9358
kworker/u96:2,120,11873
chromium,120,7104
chromium:gdrv0,120,5852
chromium,120,9909
chromium,120,7114
chromium:gdrv0,120,5841
chromium,120,7404
chromium,120,7134
chromium,120,7093
chromium:gdrv0,120,12444
chromium,120,11752
chromium:gdrv0,120,5882
chromium:gdrv0,120,5852
chromium:gdrv0,120,5821
chromium:gl0,120,306147
Compositor,120,11943
Chrome_ChildIOT,120,40738
Chrome_ChildIOT,120,11412
chromium:cs0,120,17815
kworker/u96:2,120,29918
chromium:gdrv0,120,10370
chromium,120,105633
chromium,120,7043
chromium:gdrv0,120,6372
chromium,120,7123
chromium,120,7184
chromium:gdrv0,120,5962
chromium,120,7084
chromium,120,7063
chromium:gdrv0,120,5781
chromium,120,7023
chromium,120,6973
chromium,120,6934
chromium:gdrv0,120,6162
chromium,120,7545
chromium,120,7003
chromium:gdrv0,120,11412
chromium,120,11472
chromium:cs0,120,12183
kworker/u96:2,120,5872
chromium,120,8206
chromium:gdrv0,120,10520
chromium,120,11202
chromium,120,7024
chromium:gdrv0,120,5811
chromium,120,6984
chromium,120,6984
chromium,120,8106
chromium:gdrv0,120,5931
kworker/u96:2,120,4148
chromium:gdrv0,120,6312
chromium:gdrv0,120,5741
Chrome_ChildIOT,120,41921
Chrome_ChildIOT,120,11863
chromium,120,4518
chromium:gl0,120,475952
chromium:gdrv0,120,6342
kworker/u96:2,120,2044
chromium:gdrv0,120,6132
chromium,120,77478
chromium,120,6663
chromium,120,6923
chromium:gdrv0,120,5711
chromium,120,7003
chromium,120,6944
chromium:gdrv0,120,5791
chromium,120,6943
chromium,120,6913
chromium:gdrv0,120,5761
chromium,120,6973
chromium,120,6893
chromium,120,6923
chromium:gdrv0,120,5721
chromium,120,7384
chromium,120,6943
chromium:gdrv0,120,5741
chromium,120,6963
chromium,120,6913
chromium:gdrv0,120,9708
chromium,120,11422
chromium:cs0,120,11582
chromium,120,6973
kworker/u96:2,120,23575
chromium:gdrv0,120,5801
chromium,120,7174
chromium,120,6923
chromium,120,8125
chromium:gdrv0,120,5731
chromium:gdrv0,120,5721
chromium:gdrv0,120,5771
chromium:gl0,120,447727
Chrome_ChildIOT,120,41489
chromium:gdrv0,120,5892
Chrome_ChildIOT,120,11212
Compositor,120,12865
chromium:cs0,120,10360
kworker/u96:2,120,5591
chromium:gdrv0,120,13556
chromium,120,94581
chromium,120,7425
chromium:gdrv0,120,6984
chromium,120,6913
chromium,120,6923
chromium:gdrv0,120,5911
chromium,120,6953
chromium,120,6953
chromium:gdrv0,120,5761
ThreadPoolForeg,120,18676
chromium,120,6883
kworker/u96:2,120,2104
chromium,120,7404
chromium,120,6933
chromium:gdrv0,120,5761
chromium,120,7435
chromium,120,6854
chromium:gdrv0,120,5711
chromium,120,6913
chromium,120,6883
chromium:gdrv0,120,9538
chromium,120,15059
chromium,120,6993
kworker/u96:2,120,2204
chromium:gdrv0,120,5751
chromium,120,6933
chromium,120,6963
chromium,120,6943
chromium:gdrv0,120,5751
chromium,120,4779
chromium:gdrv0,120,5791
chromium:gdrv0,120,5811
Chrome_ChildIOT,120,39656
chromium:gdrv0,120,5861
Chrome_ChildIOT,120,16893
chromium,120,4850
chromium:gl0,120,481282
chromium:gdrv0,120,11452
chromium:cs0,120,12814
chromium,120,80865
chromium,120,6642
chromium:gdrv0,120,5700
kworker/u96:2,120,23765
chromium,120,6843
chromium,120,6853
chromium:gdrv0,120,5761
chromium,120,6803
chromium,120,6813
chromium:gdrv0,120,5771
chromium,120,6783
chromium,120,6853
chromium,120,6863
chromium:gdrv0,120,5731
chromium,120,7334
chromium,120,7705
chromium:gdrv0,120,5651
chromium:gdrv0,120,8325
chromium:cs0,120,8907
kworker/u96:2,120,5641
chromium:gdrv0,120,6602
chromium:gl0,120,329361
kworker/u96:2,120,2044
Chrome_ChildIOT,120,40507
Chrome_ChildIOT,120,10830
chromium:gdrv0,120,6753
chromium:gdrv0,120,7023
chromium,120,84923
chromium,120,6904
chromium:gdrv0,120,5721
kworker/u96:2,120,1934
chromium,120,6833
chromium,120,7134
chromium:gdrv0,120,5751
chromium,120,6823
chromium,120,6883
chromium:gdrv0,120,5691
chromium,120,6844
chromium,120,6783
chromium,120,6873
chromium:gdrv0,120,5691
chromium,120,7374
chromium,120,6793
chromium:gdrv0,120,5671
chromium,120,6863
chromium,120,6843
chromium:gdrv0,120,5731
chromium,120,6803
chromium,120,9578
chromium:gdrv0,120,5711
chromium,120,6843
chromium,120,6793
chromium,120,6833
chromium:gdrv0,120,5651
chromium,120,6182
chromium:gdrv0,120,5701
chromium:gdrv0,120,8716
chromium:cs0,120,8777
kworker/u96:2,120,24076
chromium:gdrv0,120,5941
Chrome_ChildIOT,120,41299
chromium:gl0,120,470210
Chrome_ChildIOT,120,13456
chromium:gdrv0,120,5891
chromium,120,80614
chromium,120,6733
chromium:gdrv0,120,5631
chromium,120,6813
chromium,120,6783
chromium:gdrv0,120,5631
chromium,120,6743
chromium,120,6813
chromium,120,6833
chromium:gdrv0,120,8997
chromium:cs0,120,9729
chromium,120,8416
kworker/u96:2,120,5190
chromium,120,6853
chromium:gdrv0,120,6362
chromium,120,7224
chromium,120,6743
chromium:gdrv0,120,5671
chromium,120,6853
chromium,120,6813
chromium:gdrv0,120,6552
chromium,120,6773
chromium,120,6703
kworker/u96:2,120,2004
chromium:gdrv0,120,5650
chromium,120,6843
chromium,120,6793
chromium,120,6863
chromium:gdrv0,120,5691
chromium,120,4028
chromium,120,5964200
chromium:gdrv0,120,7485
chromium,120,4338
chromium:gdrv0,120,6092
kworker/u96:2,120,2194
Compositor,120,98248
chromium:gdrv0,120,5701
Compositor,120,5030
chromium:gl0,120,474969
ThreadPoolForeg,120,41390
Chrome_ChildIOT,120,40538
Chrome_ChildIOT,120,15309
Compositor,120,25078
chromium:gdrv0,120,9338
chromium:gdrv0,120,9097
chromium:gdrv0,120,12584
chromium,120,159044
chromium:gdrv0,120,7174
chromium:gl0,120,203890
chromium,120,23374
chromium:gdrv0,120,29116
chromium:cs0,120,26100
kworker/u96:2,120,27984
kworker/u96:2,120,2054
chromium,120,28234
kworker/u97:17,120,4358
cosmic-comp,120,22012
surface-eDP-1,120,12965
Chrome_ChildIOT,120,46218
Chrome_IOThread,120,141340
chromium,120,177070
surface-HDMI-A-,120,268063
cosmic-com:cs0,120,47101
surface-HDMI-A-,120,38324
kworker/u96:2,120,38053
cosmic-com:cs0,120,33264
kworker/u96:2,120,20239
surface-HDMI-A-,120,35197
kworker/u96:2,120,4067
cosmic-com:cs0,120,30459
surface-HDMI-A-,120,18015
kworker/u96:2,120,21180
cosmic-com:cs0,120,24738
kworker/u96:2,120,13796
kworker/u96:2,120,22102
surface-HDMI-A-,120,139046
kworker/u97:17,120,35358
kworker/u96:2,120,8957
cosmic-comp,120,117475
kworker/u97:17,120,153394
chromium,120,96275
surface-HDMI-A-,120,4338
chromium,120,32994
surface-eDP-1,120,13936
cosmic-comp,120,132734
Chrome_ChildIOT,120,22733
chromium,120,9177
VizCompositorTh,120,16261
chromium,120,110732
kworker/u96:2,120,3507
chromium,120,39726
surface-eDP-1,120,182349
cosmic-com:cs0,120,17453
surface-eDP-1,120,21732
kworker/u96:2,120,27993
cosmic-com:cs0,120,9227
kworker/u96:2,120,3306
surface-eDP-1,120,9328
cosmic-com:cs0,120,8406
kworker/u96:2,120,671
surface-eDP-1,120,6292
cosmic-com:cs0,120,7244
surface-eDP-1,120,42942
cosmic-com:cs0,120,9037
kworker/u96:2,120,9428
surface-eDP-1,120,30258
kworker/u97:0,120,13957
kworker/u96:2,120,8176
kworker/u96:2,120,2535
kworker/u96:2,120,1943
kworker/u96:2,120,621
ksoftirqd/0,120,3546
kworker/u97:0,120,170256
kworker/u97:17,120,3607
cosmic-comp,120,15129
cosmic-comp,120,15109
cosmic-comp,120,2965
chromium,120,20239
surface-HDMI-A-,120,108298
cosmic-com:cs0,120,9258
surface-HDMI-A-,120,7374
kworker/u96:2,120,22293
cosmic-com:cs0,120,8286
kworker/u96:2,120,2124
surface-HDMI-A-,120,7945
cosmic-com:cs0,120,6973
kworker/u96:2,120,601
surface-HDMI-A-,120,4749
cosmic-com:cs0,120,6382
surface-HDMI-A-,120,31751
kworker/u97:17,120,9528
cosmic-comp,120,18195
kworker/u96:2,120,6553
chromium,120,30187
surface-HDMI-A-,120,3436
surface-eDP-1,120,3457
cosmic-comp,120,32312
Chrome_ChildIOT,120,6182
chromium,120,25629
kworker/u96:2,120,3156
chromium,120,32432
VizCompositorTh,120,15099
kworker/u96:2,120,1843
kworker/u97:17,120,44445
VizCompositorTh,120,29176
Compositor,120,86155
Chrome_ChildIOT,120,46289
Chrome_ChildIOT,120,73080
chromium,120,72499
Chrome_ChildIOT,120,49835
chromium:cs0,120,52340
kworker/u96:2,120,8606
Chrome_ChildIOT,120,55696
Compositor,120,283283
Chrome_ChildIOT,120,31350
Compositor,120,35758
chromium,120,331896
Chrome_ChildIOT,120,37542
kworker/u96:2,120,1894
VizCompositorTh,120,250821
Compositor,120,13987
chromium,120,135138
chromium,120,8907
chromium:cs0,120,16302
kworker/u96:2,120,5450
chromium,120,46940
chromium:cs0,120,8206
kworker/u96:2,120,2795
kworker/u96:2,120,1873
kworker/u96:2,120,1964
chromium,120,112365
chromium:cs0,120,15860
kworker/u96:2,120,3237
kworker/u97:17,120,122595
chromium,120,67028
Chrome_ChildIOT,120,48864
Chrome_ChildIOT,120,14608
Chrome_IOThread,120,94030
kworker/u96:2,120,13345
chromium,120,83580
chromium,120,173632
chromium:gdrv0,120,30889
chromium:gdrv0,120,8927
chromium,120,7084
chromium,120,4588
chromium:cs0,120,34646
chromium:gdrv0,120,7003
kworker/u96:2,120,34406
chromium:gdrv0,120,5721
chromium:gdrv0,120,6864
chromium:gl0,120,257674
kworker/u96:2,120,1803
Chrome_ChildIOT,120,38554
Chrome_ChildIOT,120,11102
chromium:gdrv0,120,6282
chromium,120,82478
chromium,120,6883
chromium:gdrv0,120,5811
chromium,120,6943
chromium,120,8266
chromium:gdrv0,120,5931
chromium,120,6973
chromium,120,6964
chromium:gdrv0,120,5721
chromium,120,6974
chromium,120,12564
Compositor,120,12263
chromium,120,7044
Compositor,120,7144
chromium,120,7093
chromium:gdrv0,120,17042
chromium,120,6973
chromium:gdrv0,120,10350
chromium,120,6964
chromium,120,6934
chromium,120,6963
chromium:gdrv0,120,10801
chromium,120,6923
chromium,120,6934
chromium:gdrv0,120,9278
chromium,120,6933
chromium,120,6954
chromium:gdrv0,120,9218
chromium,120,3897
chromium:gdrv0,120,17143
chromium:cs0,120,12915
chromium:gdrv0,120,9318
kworker/u96:2,120,24858
chromium:gdrv0,120,9658
chromium:gl0,120,436025
Chrome_ChildIOT,120,11091
Chrome_ChildIOT,120,51609
chromium:gdrv0,120,9689
chromium,120,76286
chromium,120,6914
chromium:gdrv0,120,10099
chromium,120,6923
chromium,120,8066
chromium,120,6853
chromium:gdrv0,120,11822
chromium:cs0,120,10290
chromium,120,6953
kworker/u96:2,120,5942
chromium,120,6863
chromium:gdrv0,120,11622
chromium,120,6963
chromium,120,6953
chromium:gdrv0,120,9298
chromium,120,7354
chromium,120,6893
kworker/u96:2,120,1913
chromium:gdrv0,120,9147
chromium,120,6954
chromium,120,6913
chromium:gdrv0,120,9228
chromium,120,7034
chromium,120,6853
chromium:gdrv0,120,9177
chromium,120,12824
chromium:gdrv0,120,9198
chromium:gdrv0,120,9178
kworker/u96:2,120,1583
chromium:gl0,120,391509
chromium:gdrv0,120,9218
Chrome_ChildIOT,120,24116
Chrome_ChildIOT,120,16722
chromium:gdrv0,120,9669
chromium,120,75795
chromium,120,6923
chromium:gdrv0,120,9398
chromium,120,6953
chromium,120,8166
chromium,120,6934
chromium:gdrv0,120,9779
chromium,120,8156
chromium,120,9949
chromium:gdrv0,120,11782
chromium,120,6913
chromium,120,7004
chromium:gdrv0,120,12794
chromium:cs0,120,11853
chromium,120,6873
Compositor,120,3176
kworker/u96:2,120,15069
chromium,120,6863
chromium:gdrv0,120,9999
chromium,120,6923
chromium,120,6873
chromium:gdrv0,120,9217
chromium,120,6943
chromium,120,8597
chromium:gdrv0,120,9248
chromium:gdrv0,120,9378
chromium:gdrv0,120,9238
chromium:gl0,120,374257
Chrome_ChildIOT,120,18155
Chrome_ChildIOT,120,14578
chromium,120,19367
chromium:gdrv0,120,13286
chromium:cs0,120,8797
kworker/u96:2,120,5551
chromium:gdrv0,120,9509
kworker/u96:2,120,1573
chromium,120,69053
chromium,120,8136
chromium:gdrv0,120,9127
chromium,120,6823
chromium,120,6823
chromium:gdrv0,120,9077
chromium,120,6913
chromium,120,7224
chromium,120,6943
chromium:gdrv0,120,9117
chromium,120,6833
chromium,120,6953
chromium:gdrv0,120,9167
chromium,120,6823
kworker/u96:2,120,1463
chromium,120,6803
chromium:gdrv0,120,9108
chromium,120,6983
chromium,120,7945
chromium:gdrv0,120,9238
chromium,120,6803
chromium,120,6873
chromium,120,4568
chromium:gdrv0,120,9117
chromium:gdrv0,120,10560
chromium:gdrv0,120,9137
chromium:gl0,120,380068
chromium:gdrv0,120,9138
Chrome_ChildIOT,120,18405
Chrome_ChildIOT,120,11031
chromium:gdrv0,120,9148
chromium,120,75114
chromium,120,6833
chromium:gdrv0,120,12635
chromium,120,6853
chromium:cs0,120,10450
chromium,120,6923
kworker/u96:2,120,23756
chromium:gdrv0,120,9117
chromium,120,6893
chromium,120,8046
chromium,120,6833
chromium:gdrv0,120,9949
chromium,120,7033
chromium,120,6864
chromium:gdrv0,120,8917
chromium,120,6803
chromium,120,6823
chromium:gdrv0,120,9168
chromium,120,6803
chromium,120,6874
chromium,120,6783
chromium:gdrv0,120,11472
chromium:cs0,120,10551
chromium,120,8346
kworker/u96:2,120,5431
chromium:gdrv0,120,10169
chromium:gdrv0,120,9038
chromium:gdrv0,120,9518
chromium:gl0,120,371611
kworker/u96:2,120,1543
Chrome_ChildIOT,120,16732
Chrome_ChildIOT,120,10420
chromium,120,18806
chromium:gdrv0,120,11111
chromium:gdrv0,120,9378
chromium,120,65726
chromium,120,6703
kworker/u96:2,120,1553
chromium:gdrv0,120,9057
chromium,120,6773
chromium,120,6783
chromium:gdrv0,120,9047
chromium,120,6813
chromium,120,6693
chromium,120,6753
chromium:gdrv0,120,8998
chromium,120,6763
chromium,120,6763
chromium:gdrv0,120,9098
chromium,120,6722
chromium,120,7264
chromium:gdrv0,120,8997
chromium,120,6783
chromium,120,7975
chromium,120,6753
chromium:gdrv0,120,9518
chromium,120,6803
chromium,120,4328
chromium:gdrv0,120,9047
chromium:gdrv0,120,13596
chromium:cs0,120,9909
kworker/u97:0,120,6052
cosmic-comp,120,16201
chromium:gdrv0,120,9529
kworker/u96:2,120,5480
surface-eDP-1,120,15229
chromium:gl0,120,380198
chromium:gdrv0,120,9098
Chrome_ChildIOT,120,23455
Chrome_ChildIOT,120,10771
chromium:gdrv0,120,9278
chromium,120,74182
chromium,120,7875
chromium:gdrv0,120,9077
chromium,120,6793
chromium,120,6823
chromium,120,6702
chromium:gdrv0,120,11201
chromium:cs0,120,10981
chromium,120,6813
kworker/u96:2,120,5430
chromium,120,9217
chromium:gdrv0,120,14528
chromium,120,8246
chromium,120,9779
chromium:gdrv0,120,9047
chromium,120,12084
kworker/u96:2,120,1543
chromium,120,10891
chromium:gdrv0,120,9468
chromium,120,10690
chromium,120,11522
chromium:gdrv0,120,9027
chromium,120,10460
chromium,120,11011
chromium:gdrv0,120,8887
chromium,120,10019
surface-eDP-1,120,123677
chromium:gdrv0,120,9157
cosmic-com:cs0,120,21170
kworker/u96:2,120,7695
surface-eDP-1,120,10580
kworker/u96:2,120,1553
cosmic-com:cs0,120,11161
kworker/u96:2,120,5380
surface-eDP-1,120,8666
chromium:gdrv0,120,8897
cosmic-com:cs0,120,11321
surface-eDP-1,120,4689
kworker/u96:2,120,7003
cosmic-com:cs0,120,11342
chromium:gl0,120,410045
kworker/u96:2,120,6873
chromium:gdrv0,120,8977
kworker/u96:2,120,3056
surface-eDP-1,120,42371
cosmic-com:cs0,120,12203
kworker/u96:2,120,12985
Chrome_ChildIOT,120,20629
surface-eDP-1,120,39585
kworker/u97:0,120,12184
Chrome_ChildIOT,120,61137
kworker/u96:2,120,7946
chromium,120,80184
chromium:gdrv0,120,8536
chromium,120,6763
chromium,120,6693
chromium:gdrv0,120,7565
chromium,120,6672
chromium,120,7875
chromium:gdrv0,120,9368
chromium,120,6713
chromium,120,8076
chromium,120,6663
chromium:gdrv0,120,8155
chromium,120,6723
chromium,120,6713
chromium:gdrv0,120,11692
chromium:cs0,120,11332
chromium,120,6963
chromium,120,7745
chromium:gdrv0,120,8066
chromium,120,6703
kworker/u96:2,120,22493
kworker/u96:2,120,2315
chromium:gdrv0,120,7725
chromium:gdrv0,120,9178
chromium,120,44786
kworker/u97:0,120,87257
chromium:gdrv0,120,7785
chromium:gdrv0,120,8185
chromium,120,5577490
chromium:gl0,120,418061
Compositor,120,87648
Compositor,120,4158
Chrome_ChildIOT,120,16592
Chrome_ChildIOT,120,23585
ThreadPoolForeg,120,52801
Compositor,120,38153
chromium,120,43203
chromium:gdrv0,120,20048
chromium:cs0,120,15971
kworker/u96:2,120,15229
chromium:gdrv0,120,8235
chromium:gdrv0,120,6312
chromium:gl0,120,103989
chromium,120,152001
kworker/u96:2,120,5400
kworker/u97:0,120,9839
cosmic-comp,120,15270
surface-eDP-1,120,25649
kworker/u97:17,120,13255
cosmic-comp,120,15299
VizCompositorTh,120,62179
surface-HDMI-A-,120,70335
cosmic-comp,120,55436
Compositor,120,140048
chromium,120,157962
Chrome_ChildIOT,120,136351
Chrome_ChildIOT,120,234459
chromium,120,86556
chromium:cs0,120,67670
Chrome_ChildIOT,120,126112
kworker/u96:2,120,46128
Compositor,120,103278
Chrome_ChildIOT,120,88780
Compositor,120,35307
chromium,120,315534
chromium:cs0,120,43283
chromium,120,62740
kworker/u96:2,120,66187
VizCompositorTh,120,341313
Chrome_ChildIOT,120,90794
Compositor,120,45718
chromium,120,90583
Chrome_ChildIOT,120,69964
chromium:cs0,120,42902
kworker/u96:2,120,24306
kworker/u96:2,120,33545
chromium,120,179564
chromium:cs0,120,31059
kworker/u96:2,120,27894
Chrome_ChildIOT,120,48733
chromium,120,171679
Chrome_ChildIOT,120,63231
chromium,120,29717
Chrome_IOThread,120,121132
chromium,120,7103
chromium,120,7063
kworker/u96:2,120,13696
chromium:gdrv0,120,39857
chromium,120,21481
chromium:gdrv0,120,16031
kworker/u96:2,120,13115
chromium,120,184143
chromium:gdrv0,120,9698
chromium:gdrv0,120,9688
chromium:gl0,120,349569
chromium,120,62439
chromium,120,7064
chromium:gdrv0,120,14177
chromium,120,8336
chromium,120,8666
Chrome_ChildIOT,120,82508
chromium:gdrv0,120,10049
chromium,120,4358
Chrome_ChildIOT,120,69754
chromium:gdrv0,120,10961
chromium:gdrv0,120,9227
chromium:gl0,120,318870
chromium,120,8617
chromium:gdrv0,120,9959
chromium,120,14418
chromium,120,40848
chromium,120,6923
chromium:gdrv0,120,13736
chromium,120,6884
chromium,120,6833
chromium:cs0,120,74813
chromium:gdrv0,120,13446
chromium,120,6662
chromium,120,6732
chromium:gdrv0,120,9097
chromium,120,6673
kworker/u96:2,120,41039
chromium,120,6733
chromium,120,6582
chromium:gdrv0,120,9118
chromium,120,6672
Chrome_ChildIOT,120,49965
chromium,120,6612
chromium:gdrv0,120,9157
chromium,120,7084
chromium,120,6612
chromium:gdrv0,120,9118
chromium,120,6593
chromium,120,6964
Chrome_ChildIOT,120,69373
chromium:gdrv0,120,9388
chromium,120,6643
chromium,120,7013
chromium,120,8807
chromium:gdrv0,120,9118
