prev_comm,prio,timeslice
cosmic-comp,120,145359
VizCompositorTh,120,151570
surface-HDMI-A-,120,209591
cosmic-comp,120,209130
WebRTC_W_and_N,120,148294
chromium,120,199953
kworker/u96:2,120,24968
VizCompositorTh,120,144297
chromium,120,251361
ThreadPoolForeg,120,495529
chromium,120,359829
VizCompositorTh,120,146280
VizCompositorTh,120,143294
chromium,120,329451
VizCompositorTh,120,138586
chromium,120,213218
wpa_supplicant,120,108538
VizCompositorTh,120,145669
WebRTC_W_and_N,120,197969
VizCompositorTh,120,143395
WebRTC_W_and_N,120,153043
WebRTC_W_and_N,120,153544
notify-rs debou,120,55757
VizCompositorTh,120,142653
WebRTC_W_and_N,120,159806
cosmic-comp,120,1819173
Xwayland,120,96225
VizCompositorTh,120,144076
ksoftirqd/16,120,16742
kworker/16:2,120,46990
surface-HDMI-A-,120,59373
cosmic-comp,120,637801
smithay-clipboa,120,50126
cosmic-workspac,120,34345
tokio-runtime-w,120,52620
tokio-runtime-w,120,118297
tokio-runtime-w,120,115300
xdg-desktop-por,120,145930
tokio-runtime-w,120,141040
tokio-runtime-w,120,138495
smithay-clipboa,120,7084
cosmic-workspac,120,176648
smithay-clipboa,120,4208
tokio-runtime-w,120,43493
cosmic-workspac,120,33303
smithay-clipboa,120,24667
cosmic-workspac,120,22373
tokio-runtime-w,120,36320
tokio-runtime-w,120,44696
tokio-runtime-w,120,120931
tokio-runtime-w,120,63451
kworker/u97:0,120,327327
tokio-runtime-w,120,37081
tokio-runtime-w,120,21722
tokio-runtime-w,120,12484
tokio-runtime-w,120,8736
tokio-runtime-w,120,9819
tokio-runtime-w,120,9068
cosmic-applet-t,120,576854
cosmic-applet-w,120,568879
cosmic-workspac,120,413482
tokio-runtime-w,120,13766
surface-eDP-1,120,1261465
cosmic-com:cs0,120,154015
cosmic-panel,120,1724642
kworker/u96:2,120,74272
cosmic-p:gdrv0,120,34717
surface-eDP-1,120,246212
cosmic-panel,120,154846
kworker/u98:2,120,31951
cosmic-pan:cs0,120,92547
kworker/u96:2,120,14227
cosmic-panel,120,330924
cosmic-pan:cs0,120,59794
kworker/u96:2,120,4538
cosmic-p:gdrv0,120,7885
cosmic-comp,120,156680
surface-HDMI-A-,120,16602
surface-eDP-1,120,13315
cosmic-applet-t,120,30018
cosmic-applet-w,120,34096
smithay-clipboa,120,37542
smithay-clipboa,120,38794
smithay-clipboa,120,6332
cosmic-applet-t,120,47881
cosmic-applet-w,120,56108
cosmic-applet-t,120,22353
smithay-clipboa,120,22894
cosmic-applet-w,120,30669
